threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.42,0.843120716921455,0.7697073556551542,0.826117713638936,0.7969155179473182,0.9276296056542503,10155,1747,1229,5839
0.421,0.8432261465471798,0.7701953537486801,0.8255517826825127,0.796913411636165,0.9276296056542503,10161,1741,1233,5835
0.422,0.8434370057986295,0.7708168120539255,0.8251273344651953,0.7970479704797048,0.9276296056542503,10168,1734,1236,5832
0.423,0.8434897206114919,0.771277299801456,0.8244199207696661,0.7969636873418587,0.9276296056542503,10174,1728,1241,5827
0.424,0.8435424354243543,0.7716671084018023,0.8238539898132428,0.7969070754071438,0.9276296056542503,10179,1723,1245,5823
0.425,0.8438587243015288,0.7724256900212314,0.8235710243350312,0.7971788551081895,0.9276296056542503,10187,1715,1247,5821
0.426,0.843753294675804,0.7727272727272727,0.8225806451612904,0.796875,0.9276296056542503,10192,1710,1254,5814
0.427,0.8438587243015288,0.7732233164759116,0.822014714204867,0.7968728569469209,0.9276296056542503,10198,1704,1258,5810
0.428,0.8442277279915656,0.7741634448740168,0.8215902659875495,0.7971720776992244,0.9276296056542503,10208,1694,1261,5807
0.429,0.8441222983658409,0.7741763372015473,0.821165817770232,0.7969790593889461,0.9276296056542503,10209,1693,1264,5804
0.43,0.8443858724301528,0.7748397435897436,0.8208828522920204,0.79719703215169,0.9276296056542503,10216,1686,1266,5802
0.431,0.8443858724301528,0.7751336898395722,0.8203169213355971,0.7970855100357438,0.9276296056542503,10220,1682,1270,5798
0.432,0.8447021613073273,0.7757559539737757,0.8203169213355971,0.7974143859166553,0.9276296056542503,10226,1676,1270,5798
0.433,0.844913020558777,0.7764674350040204,0.8197509903791738,0.7975223675154852,0.9276296056542503,10234,1668,1274,5794
0.434,0.8450184501845018,0.7769726247987118,0.8191850594227504,0.7975206611570248,0.9276296056542503,10240,1662,1278,5790
0.435,0.8449657353716394,0.7770170492683581,0.8189020939445387,0.7974099331817869,0.9276296056542503,10241,1661,1280,5788
0.436,0.8451765946230891,0.777658287404221,0.8184776457272213,0.7975460122699386,0.9276296056542503,10248,1654,1283,5785
0.437,0.8452820242488139,0.7780169514327997,0.8181946802490097,0.7976001655058271,0.9276296056542503,10252,1650,1285,5783
0.438,0.8454401686874011,0.7784810126582279,0.8179117147707979,0.7977093969918587,0.9276296056542503,10257,1645,1287,5781
0.439,0.8456510279388508,0.779126213592233,0.8174872665534805,0.7978458989229494,0.9276296056542503,10264,1638,1290,5778
0.44,0.8459146020031629,0.7797273586178971,0.8173457838143746,0.7980935276645714,0.9276296056542503,10270,1632,1291,5777
0.441,0.8462308908803374,0.7805867243477085,0.8169213355970572,0.7983408226754234,0.9276296056542503,10279,1623,1294,5774
0.442,0.8463363205060622,0.7811780636425186,0.816213921901528,0.7983117691828686,0.9276296056542503,10286,1616,1299,5769
0.443,0.8462836056931998,0.7817589576547231,0.8149405772495756,0.7980049875311721,0.9276296056542503,10294,1608,1308,5760
0.444,0.8461781760674749,0.7817762085822922,0.8145161290322581,0.7978104212860311,0.9276296056542503,10295,1607,1311,5757
0.445,0.8462836056931998,0.7822185970636215,0.8140916808149405,0.7978369384359401,0.9276296056542503,10300,1602,1314,5754
0.446,0.846441750131787,0.7826146102571079,0.8139501980758348,0.7979748942367709,0.9276296056542503,10304,1598,1315,5753
0.447,0.8465471797575118,0.7832129717945224,0.8132427843803056,0.7979454431873395,0.9276296056542503,10311,1591,1320,5748
0.448,0.8465998945703743,0.7836289222373807,0.8126768534238823,0.7978885956382831,0.9276296056542503,10316,1586,1324,5744
0.449,0.8465998945703743,0.7839388145315488,0.812110922467459,0.797776233495483,0.9276296056542503,10320,1582,1328,5740
0.45,0.8465998945703743,0.7842493847415914,0.8115449915110357,0.7976637463496037,0.9276296056542503,10324,1578,1332,5736
0.451,0.8467580390089615,0.7851171714403179,0.8105546123372949,0.7976331360946746,0.9276296056542503,10334,1568,1339,5729
0.452,0.8467580390089615,0.7855868222374742,0.8097057159026598,0.7974639448198982,0.9276296056542503,10340,1562,1345,5723
0.453,0.8465471797575118,0.7857830331362574,0.8085738539898133,0.7970155498221881,0.9276296056542503,10344,1558,1353,5715
0.454,0.8465998945703743,0.7863636363636364,0.8077249575551783,0.7969011725293133,0.9276296056542503,10351,1551,1359,5709
0.455,0.8467053241960991,0.7868174296745726,0.8073005093378608,0.7969273743016759,0.9276296056542503,10356,1546,1362,5706
0.456,0.8467053241960991,0.7870549268561965,0.8068760611205433,0.7968422523403661,0.9276296056542503,10359,1543,1365,5703
0.457,0.8467053241960991,0.7878494326044838,0.805461233729485,0.79655799636211,0.9276296056542503,10369,1533,1375,5693
0.458,0.8466526093832367,0.7880592879900263,0.8048953027730616,0.7963883250507454,0.9276296056542503,10372,1530,1379,5689
0.459,0.8465998945703743,0.7883495145631068,0.8041878890775326,0.7961899425689872,0.9276296056542503,10376,1526,1384,5684
0.46,0.8468107538218239,0.7890277777777778,0.803763440860215,0.796327446033081,0.9276296056542503,10383,1519,1387,5681
0.461,0.8468107538218239,0.7892688351403948,0.8033389926428975,0.7962417613237975,0.9276296056542503,10386,1516,1390,5678
0.462,0.8465998945703743,0.7893930957683741,0.8023486134691568,0.7958181307886613,0.9276296056542503,10389,1513,1397,5671
0.463,0.8460200316288877,0.7893121250174411,0.8003678551216752,0.794801545486477,0.9276296056542503,10392,1510,1411,5657
0.464,0.8462308908803374,0.7899958082995668,0.7999434069043577,0.7949384885764499,0.9276296056542503,10399,1503,1414,5654
0.465,0.8463363205060622,0.790460204224367,0.7995189586870401,0.7949637757614124,0.9276296056542503,10404,1498,1417,5651
0.466,0.846441750131787,0.7909256406665733,0.7990945104697227,0.7949890914209304,0.9276296056542503,10409,1493,1420,5648
0.467,0.846441750131787,0.7913336137989062,0.7983870967741935,0.7948447073737587,0.9276296056542503,10414,1488,1425,5643
0.468,0.8461781760674749,0.7912689500280741,0.7975382003395586,0.794391206313416,0.9276296056542503,10415,1487,1431,5637
0.469,0.8465998945703743,0.7925696594427245,0.7968307866440294,0.7946945110766191,0.9276296056542503,10428,1474,1436,5632
0.47,0.8465998945703743,0.7928994082840237,0.7962648556876061,0.7945785684032189,0.9276296056542503,10432,1470,1440,5628
0.471,0.8466526093832367,0.7933417971505149,0.7956989247311828,0.7945186127004309,0.9276296056542503,10437,1465,1444,5624
0.472,0.8468107538218239,0.7940096072336819,0.7951329937747594,0.7945709034356002,0.9276296056542503,10444,1458,1448,5620
0.473,0.8466526093832367,0.7940053725434751,0.7945670628183361,0.7942861183791811,0.9276296056542503,10445,1457,1452,5616
0.474,0.8467580390089615,0.7943964907315693,0.7942840973401245,0.7943402900601344,0.9276296056542503,10449,1453,1454,5614
0.475,0.8469161834475487,0.7951516869861072,0.7935766836445953,0.7943634046169098,0.9276296056542503,10457,1445,1459,5609
0.476,0.8471270426989984,0.7957706500141924,0.7932937181663837,0.7945302536488593,0.9276296056542503,10463,1439,1461,5607
0.477,0.8471797575118608,0.7962199801051585,0.7927277872099604,0.7944700460829494,0.9276296056542503,10468,1434,1465,5603
0.478,0.8472324723247232,0.796923953289661,0.7917374080362196,0.7943222143364088,0.9276296056542503,10476,1426,1472,5596
0.479,0.8472851871375857,0.7973763011549979,0.7911714770797963,0.794261771181024,0.9276296056542503,10481,1421,1476,5592
0.48,0.8477596204533474,0.7984861468151957,0.7910299943406904,0.7947405828002843,0.9276296056542503,10491,1411,1477,5591
0.481,0.847970479704797,0.7991990846681922,0.790605546123373,0.7948790896159317,0.9276296056542503,10498,1404,1480,5588
0.482,0.8481813389562467,0.7998281786941581,0.7903225806451613,0.7950469684030743,0.9276296056542503,10504,1398,1482,5586
0.483,0.8481286241433843,0.8000573312311882,0.7897566496887379,0.794873620505518,0.9276296056542503,10507,1395,1486,5582
0.484,0.847706905640485,0.7999138797186738,0.7884833050367855,0.7941574634841467,0.9276296056542503,10508,1394,1495,5573
0.485,0.8479177648919346,0.8007189072609633,0.7879173740803622,0.7942665620765884,0.9276296056542503,10516,1386,1499,5569
0.486,0.8480759093305219,0.801237766263673,0.7876344086021505,0.7943778538812786,0.9276296056542503,10521,1381,1501,5567
0.487,0.8481813389562467,0.8016421780466725,0.7873514431239389,0.7944325481798715,0.9276296056542503,10525,1377,1503,5565
0.488,0.8482340537691091,0.8020187454938716,0.7869269949066214,0.7944011997429122,0.9276296056542503,10529,1373,1506,5562
0.489,0.8481813389562467,0.8022517321016166,0.7863610639501981,0.794226921977708,0.9276296056542503,10532,1370,1510,5558
0.49,0.8480759093305219,0.8027191206248192,0.7852292020373515,0.793877842940924,0.9276296056542503,10538,1364,1518,5550
0.491,0.8483394833948339,0.8035636679704476,0.784804753820034,0.7940734378355164,0.9276296056542503,10546,1356,1521,5547
0.492,0.8484449130205588,0.8040609137055837,0.7843803056027164,0.7940986893933968,0.9276296056542503,10551,1351,1524,5544
0.493,0.8483394833948339,0.8042689124437346,0.7836728919071874,0.7938373342887853,0.9276296056542503,10554,1348,1529,5539
0.494,0.8483921982076964,0.8047397499273045,0.783106960950764,0.7937759931163058,0.9276296056542503,10559,1343,1533,5535
0.495,0.8483394833948339,0.8049774414204628,0.7825410299943407,0.7936006887151159,0.9276296056542503,10562,1340,1537,5531
0.496,0.8484449130205588,0.8056568012829859,0.7818336162988115,0.7935664536511812,0.9276296056542503,10569,1333,1542,5526
0.497,0.8482867685819715,0.805928738317757,0.7808432371250708,0.793187697614257,0.9276296056542503,10573,1329,1549,5519
0.498,0.8482867685819715,0.8064657694558222,0.7799943406904357,0.7930092059838896,0.9276296056542503,10579,1323,1555,5513
0.499,0.8482867685819715,0.8065554580040971,0.77985285795133,0.7929794274205151,0.9276296056542503,10580,1322,1556,5512
0.5,0.8483394833948339,0.8069430203603339,0.7794284097340124,0.7929471032745592,0.9276296056542503,10584,1318,1559,5509
0.501,0.8483394833948339,0.8075737560546015,0.7784380305602716,0.7927382753403933,0.9276296056542503,10591,1311,1566,5502
0.502,0.8487084870848709,0.8084950029394474,0.7782965478211659,0.7931084198385236,0.9276296056542503,10599,1303,1567,5501
0.503,0.8483921982076964,0.8085075066234914,0.7771646859083192,0.792526330976771,0.9276296056542503,10601,1301,1575,5493
0.504,0.8481813389562467,0.8086674528301887,0.7761743067345784,0.792087785157378,0.9276296056542503,10604,1298,1582,5486
0.505,0.8483921982076964,0.8094183643342191,0.7757498585172609,0.7922265568559457,0.9276296056542503,10611,1291,1585,5483
0.506,0.8485503426462836,0.8101434274730149,0.7751839275608375,0.7922782156026318,0.9276296056542503,10618,1284,1589,5479
0.507,0.8484976278334212,0.8102989050014797,0.7747594793435201,0.7921307681180385,0.9276296056542503,10620,1282,1592,5476
0.508,0.8483394833948339,0.8103984594874833,0.7740520656479909,0.7918083797669875,0.9276296056542503,10622,1280,1597,5471
0.509,0.8484449130205588,0.8108228317272054,0.7737691001697793,0.7918627380004344,0.9276296056542503,10626,1276,1599,5469
0.51,0.8484449130205588,0.8112843355605048,0.7730616864742501,0.7917119466782584,0.9276296056542503,10631,1271,1604,5464
0.511,0.8487612018977333,0.8121933085501859,0.7727787209960385,0.7919959399695498,0.9276296056542503,10639,1263,1606,5462
0.512,0.8484976278334212,0.8124255065554231,0.771505376344086,0.7914368650217707,0.9276296056542503,10643,1259,1615,5453
0.513,0.8485503426462836,0.8128262490678598,0.7710809281267685,0.7914034705583388,0.9276296056542503,10647,1255,1618,5450
0.514,0.8483921982076964,0.8131162234837168,0.7700905489530278,0.7910187472751053,0.9276296056542503,10651,1251,1625,5443
0.515,0.8482867685819715,0.8132476076555024,0.7695246179966044,0.7907822041291073,0.9276296056542503,10653,1249,1629,5439
0.516,0.8481286241433843,0.8135390145274825,0.7685342388228636,0.7903965078210258,0.9276296056542503,10657,1245,1636,5432
0.517,0.847970479704797,0.8135491606714629,0.7679683078664403,0.7901018922852984,0.9276296056542503,10658,1244,1640,5428
0.518,0.8480759093305219,0.813981398139814,0.7676853423882286,0.7901558176787534,0.9276296056542503,10662,1240,1642,5426
0.519,0.847970479704797,0.8143028846153846,0.7668364459535937,0.7898571844943165,0.9276296056542503,10666,1236,1648,5420
0.52,0.8481813389562467,0.8149819494584838,0.766553480475382,0.7900262467191601,0.9276296056542503,10672,1230,1650,5418
0.521,0.847970479704797,0.8152501506931886,0.7654216185625353,0.7895504962054875,0.9276296056542503,10676,1226,1658,5410
0.522,0.8478123352662098,0.8154519390372718,0.7645727221279004,0.789193136181088,0.9276296056542503,10679,1223,1664,5404
0.523,0.8477596204533474,0.8157099697885196,0.7640067911714771,0.7890122735242548,0.9276296056542503,10682,1220,1668,5400
0.524,0.847970479704797,0.8167777104784979,0.7631578947368421,0.7890579286132241,0.9276296056542503,10692,1210,1674,5394
0.525,0.8480759093305219,0.8172173385874507,0.7628749292586304,0.789111663983609,0.9276296056542503,10696,1206,1676,5392
0.526,0.8480759093305219,0.8178918590522479,0.7618845500848896,0.7888953999414006,0.9276296056542503,10703,1199,1683,5385
